Metric,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Coaching Experience vs Correctness % (AF),15,-0.3433854112378164,0.21017523609685684,-0.3210475535539248,0.24330973122060132
Coaching Experience vs Completeness % (AF),15,-0.07372099016561638,0.7940118350910517,-0.10660035817780521,0.7053382381602641
